tmdb_id;title;year;runtime;rating;cast;genres
"441130";"Wolfwalkers";2020;103;83;Honor Kneafsey|Eva Whittaker|Sean Bean|Simon McBurney|Tommy Tiernan|Jon Kenny|John Morton|Maria Doyle Kennedy;Animation|Family|Adventure|Fantasy
"632632";"Given";2020;60;83;Takuya Eguchi|Masatomo Nakazawa|Shogo Yano|Yuma Uchida|Shintaro Asanuma;Animation|Drama|Music|Romance
"10494";"Perfect Blue";1997;81;83;Junko Iwao|Rica Matsumoto|Masaaki Okura|Shinpachi Tsuji|Yousuke Akimoto|Yoku Shioya|Hideyuki Hori;Animation|Thriller
"28";"Apocalypse Now";1979;147;83;Marlon Brando|Robert Duvall|Martin Sheen|Frederic Forrest|Laurence Fishburne|Albert Hall|Sam Bottoms|Dennis Hopper|G. D. Spradlin;Drama|War
"29259";"Le Trou";1960;132;83;Michel Constantin|Jean Keraudy|Philippe Leroy|Raymond Meunier|Marc Michel|Jean-Paul Coquelin|André Bervil|Eddy Rasimi|Philippe Dumat;Crime|Drama|Thriller|History
"618344";"Justice League Dark: Apokolips War";2020;90;83;Matt Ryan|Jerry O'Connell|Taissa Farmiga|Jason O'Mara|Rosario Dawson|Stuart Allan|Rebecca Romijn|Rainn Wilson|Tony Todd;Animation|Action|Science_Fiction
"637920";"Miracle in Cell No. 7";2019;132;83;Aras Bulut İynemli|Nisa Sofiya Aksongur|İlker Aksum|Mesut Akusta|Yıldıray Şahinler|Yurdaer Okur|Sarp Akkaya|Deniz Baysal|Deniz Celiloğlu;Drama
"10376";"The Legend of 1900";1998;170;83;Tim Roth|Pruitt Taylor Vince|Mélanie Thierry|Bill Nunn|Gabriele Lavia|Clarence Williams III|Peter Vaughan|Alberto Vazquez;Drama|Music|Romance
"975";"Paths of Glory";1957;88;83;Kirk Douglas|Ralph Meeker|Adolphe Menjou|George Macready|Wayne Morris|Richard Anderson|Joe Turkel|Christiane Kubrick|Jerry Hausner;Drama|War
"77338";"The Intouchables";2011;113;83;François Cluzet|Omar Sy|Anne Le Ny|Clotilde Mollet|Alba Gaïa Bellugi|Audrey Fleurot|Cyril Mendy|Christian Ameri;Drama|Comedy
"740996";"BLACKPINK: Light Up the Sky";2020;79;83;Kim Ji-soo|Jennie Kim|Rosé|Lisa|Teddy Park;Documentary|Music
"537061";"Steven Universe: The Movie";2019;82;83;Zach Callison|Deedee Magno|Estelle|Michaela Dietz|Sarah Stiles|Tom Scharpling|Uzo Aduba|Shelby Rabara|Jennifer Paz;TV_Movie|Animation|Science_Fiction|Action|Adventure|Comedy|Drama|Fantasy|Music
